Video ID,Comment id,Comment creation time,Comment number of likes,Comment content,Replies,Video title,Video channel,Video creation time,Video number of views
JZ_flEGANBw,UgwuCX475lju2-tlWHV4AaABAg,2023-09-01T14:58:22Z,528,"A bunch of my professors have been freaking out about ChatGPT and asking students what they should do to adapt to technological changes in academic fields brought on by AI… this was my first week and AI policies were on the syllabus- academics are seriously freaking out about this. Needless to say, I emailed this video to all of my profs, I hope they watch it and incorporate your ideas into the classroom rather than trying and failing to ban the use of AI, or lazily allowing students to get out of work with it","['Would love to talk to your professors about their struggles and see how we can help. Let them know to reach out to us if they have questions', 'This new advancement of AI is going to RUIN education forever', 'Q', '❤❤', 'How did it go? How did they react?']",How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgzsV3g9-93xUX2m1QF4AaABAg,2023-09-03T22:40:25Z,9,"AMAZING vid guys. This is definitely one of those vids that are like a black swan event since the AI is basically a more sophisticated search engine tailored specifically to the individual asking questions.

Phenomenal!",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,Ugyp7mBmxwvZIT9nL-94AaABAg,2023-09-09T03:35:40Z,5,You and Mike are EXTRAORDINARY as ever. Keep making videos for us. Love you both!,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgzClGkl0S_ao7Rd8Ah4AaABAg,2023-09-02T11:30:41Z,25,Plot Twist: All research and the script was made by Chat GPT,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgyxMaVPNbAHt61X0nt4AaABAg,2023-10-19T15:02:52Z,9,"I'm currently self-learning data science and this video has helped me find out about the uses of AI to improve the rate at which I learn concepts considerably. You've just earned a new subscriber, thank you.",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgxzY2xz-bplUmIq0Lt4AaABAg,2023-09-03T12:30:23Z,8,"AI improved so many areas of my personal and work life. Being a graduate many years ago, you normally don't study as much anymore, with gpt I don't just have access to new concepts easily, I can also review books that I read long ago, practice new skills and test ideas. That's amazing! It's really great to see smart young people to be so methodical and understanding about it. 👍",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgyCcUcxMWgFCx-6p5V4AaABAg,2023-09-02T15:29:40Z,9,I was asked to share my experience as a senior in college with incoming freshman for my degree and offer any tips for being a successful student. I told them all about your channel! This has seriously upped my study game!,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgyWQ22KagnUFDJJ7fp4AaABAg,2023-09-02T04:29:02Z,8,"One of the best videos on  ' implementing AI in studying '  .
Can't wait to use these tricks irl.
Thanks a bunch !!❤",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgwGOOYEmeNNPlG9Bjt4AaABAg,2023-09-01T18:20:56Z,10,"Another banger video from you guys! By far the BEST video I've seen on using ChatGPT in effective ways for learning and stuyding aside from just using it as an advanced search engine.  As a med student, I currently use it similarly to you, but your prompts are wayyyy better and more detailed to get the most out of it!  I'll def be upgrading my AI prompt game now, thanks for the list 🤩🤩",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,Ugxdfl0aIBDC1kBUJ-h4AaABAg,2023-09-01T14:38:36Z,152,"I've used it to study before. It is literally (sometimes better than) a teacher right beside you, limitless. Thanks guys!","['it does get a lot of things wrong tho especially when you ask it really complex questions, it can give you wrong answers. It was evident when I used it a bit for FRCA prep, but I ditched it from wrong answers', '\u200b@@soar865 i dont think its really meant to give you the right answers so i would avoid that line of chatgpt. when i used it to study for boards (ie usmle step 1 in the states), i used it as a way break down complex topics into digestible information so that i could make anki cards quickly. you can feed it research articles and ask it to explain and summarize it to you at a college level so it becomes very easy to understand', 'It’s very good at helping you think deeper! But yea, don’t take every word as truth', ""\u200b@@soar865true.. but most of the time it's excellent"", '\u200b@@soar865You can change some settings to make it give only factual answers; conversely u can also make it give creative answers']",How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgzM-d369wyOihEpo3V4AaABAg,2023-09-02T01:53:55Z,0,Wow this video is gold! I've used chatgpt extensively but i've never come up with these. I've also never seen this prompts in another video. You've had some really unique ideas thanks for sharing,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgymbfRfH9Mn81439uV4AaABAg,2023-09-01T14:33:00Z,5,I’ve waited hours for this!! Thanks for the help♡,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgxrfKEBRXVUO9Vt5GZ4AaABAg,2023-09-01T14:49:21Z,0,I WAS WAITING FOR THIS VIDEOOOO! thank you Cajun koi❤,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgwfRJhwg5MCvE50rmV4AaABAg,2023-09-02T01:25:35Z,34,"Love this. Many people are afraid of the new AI technologies and choose to ignore or to not use them, but I think they can be a limit-breaking technology that if used efficiently, can bring extreme benefits to society in almost all sectors. This is, after all, like when they invented the phone.",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgxTsGOWKRvsxWML5Jl4AaABAg,2023-09-01T16:27:17Z,75,"2:16 - Concept
3:37 - Connect
6:04 - Challenge.",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,Ugw39ItEXvzd_5uFM0d4AaABAg,2023-09-01T15:23:46Z,4,"THANK U SO MUCH BEING SOOO HELPFUL EVERYTIMEEE 
WE RESPECT YOU FOR YOUR HARDWORK AND THE EFFORTS YOU PUT INSIDE IN YOUR VIDEOS 
AND THE PEOPLE WHO SAY THAT WHY U TAKE MONEY WHEN U INTRODUCE COURSE SHOULD SUPPORT IN THE FREEEEEEE WORK YOU PROVIDE TOOO  
❤❤",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,Ugwb11soXVzqrnN0NER4AaABAg,2023-09-27T22:17:26Z,1,"Wow! This video expand all my mind! Before this i thought I knew how to use AI for studying, but now I realize a world of new possibilities! Thanks from Brazil! 👏👏",,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgwFJNXanUkTJ_eAh-h4AaABAg,2023-09-02T23:48:33Z,26,"I've been using chaptgpt to help me teach myself physics and oml these prompts are seriously gonna be so helpful, thank youu!","['Hey, how do you do it? It would really be helpful information for me.']",How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,Ugy9JicooPycWcpTHUd4AaABAg,2024-02-29T22:25:30Z,0,This is definitely one of the most helpful study help videos I’ve seen. Thanks,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,Ugy5IoL3v_GlMGlH-ph4AaABAg,2023-09-29T20:30:52Z,0,this is what I've been doingg and the analogies it can generate are amazing. thank you for the other tips!,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgzJRrhXAXMdFZLcdBN4AaABAg,2023-09-03T01:01:16Z,1,Omg. I can't wait to try this for my nursing classes. Amazing video.,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,UgwrBqBwmYZjRrFkg_V4AaABAg,2023-09-01T14:34:20Z,5,Your videos are truly on the other level. 😊,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
JZ_flEGANBw,Ugy6q1PqIwvlozMHDBp4AaABAg,2023-09-01T14:42:04Z,3,This Channel is seriously Underrated <33,,How to learn anything fast using ChatGPT | Full guide to studying with AI,Cajun Koi Academy,2023-09-01T14:31:41Z,346606
